Source,Target,Weight
MNE,NNA,1
NNA,KIR,2
KIR,BOE,2
BOE,KNE,3
KNE,NJP,5
NJP,JPE,2
JPE,NCB,1
NCB,NOQ,4
NOQ,KOJ,2
KOJ,NBQ,3
NBQ,RNY,1
RNY,KYQ,5
KYQ,GHY,6
GKP,KLD,3
KLD,BST,3
BST,MUR,2
MUR,GD,2
GD,BBK,3
BBK,BNZ,2
BNZ,LJN,3
LJN,ON,2
ON,CNB,6
CNB,PHN,2
PHN,ORAI,2
ORAI,JHS,2
LAR,BPL,2
AMLA,PAR,3
PAR,NGP,2
NGP,SEGM,6
SEGM,HGT,5
HGT,CD,4
CD,BPQ,9
BPQ,SKZR,9
SKZR,BPA,7
BPA,MCI,7
MCI,RDM,6
RDM,WL,4
WL,KMT,5
KMT,BZA,6
BZA,CLX,1
CLX,OGL,5
OGL,NLR,13
NLR,GDR,14
GDR,MAS,3
MAS,KPD,2
KPD,JTJ,8
JTJ,SA,6
SA,ED,11
ED,TUP,12
TUP,CBE,11
CBE,PGT,9
PGT,OTP,2
OTP,SRR,2
SRR,WKI,2
WKI,TCR,2
TCR,IJK,2
IJK,CKI,4
CKI,AFK,2
AFK,AWY,3
AWY,ERN,7
ERN,ERS,3
ERS,SRTL,2
SRTL,ALLP,2
ALLP,AMPA,3
AMPA,HAD,3
HAD,KYJ,3
QLN,TVC,3
GZB,MB,4
MB,LKO,1
LKO,GD,1
GD,GKP,1
GKP,DEOS,2
DEOS,SV,1
SV,CPR,1
CPR,SEE,1
HJP,MFP,2
SPJ,ROA,1
ROA,KGG,1
KGG,KIR,1
KIR,KNE,1
DBRG,NTSK,1
NTSK,SLGR,1
SLGR,MXN,1
MXN,BXJ,1
BXJ,DMV,3
DMV,DPU,4
DPU,LMG,4
LMG,HJI,1
HJI,CPK,1
CPK,JID,4
JID,GHY,3
GHY,KYQ,7
KYQ,NBQ,1
NBQ,FKM,1
FKM,NCB,1
NCB,NJP,2
NJP,MLDT,1
MLDT,AZ,1
AZ,KWAE,1
KWAE,NDAE,2
NDAE,BDC,1
BDC,KOAA,1
CSMT,KYN,1
KYN,NK,2
MMR,BSL,4
BSL,KNW,1
ET,HBJ,5
JHS,ORAI,3
ORAI,CNB,2
CNB,ON,4
ON,LJN,2
SEE,CPR,2
BST,GD,2
BBK,LKO,5
LKO,CNB,2
CNB,ETW,3
ETW,TDL,2
TDL,ALJN,3
ALJN,GZB,1
GZB,NDLS,2
HSR,BNW,2
BNW,ROK,2
ROK,BGZ,2
BGZ,NNO,3
NNO,SSB,3
SSB,NDLS,1
ON,LKO,2
LKO,BBK,3
BBK,GD,3
GD,BST,4
BST,KLD,5
KLD,GKP,4
RDM,KZJ,3
SC,KZJ,2
KZJ,RDM,1
RDM,MCI,4
MCI,BPA,3
BPA,SKZR,3
SKZR,BPQ,9
BPQ,CD,7
CD,HGT,4
HGT,SEGM,5
SEGM,NGP,5
NGP,PAR,4
PAR,AMLA,3
AMLA,BZU,6
BZU,GDYA,4
GDYA,ET,4
ET,BPL,3
ORAI,PHN,1
PHN,CNB,1
LJN,BNZ,1
BNZ,BBK,1
GD,MUR,1
MUR,BST,1
SPE,NYP,3
NYP,GDR,3
NLR,BTTR,3
BTTR,KVZ,3
KVZ,SKM,3
SKM,OGL,3
CLX,BPP,6
BPP,NDO,5
NDO,TEL,5
TEL,GNT,2
GNT,SAP,2
SAP,PGRL,2
PGRL,NDKD,2
NDKD,VNUP,1
VNUP,MRGA,1
MRGA,NLDA,2
NLDA,SC,1
SC,HYB,8
MLMR,VM,2
VRI,ALU,2
ALU,LLI,1
LLI,SRGM,1
SRGM,GOC,1
GOC,TPJ,6
TPJ,PDKT,1
PDKT,KKDI,1
MYS,MYA,2
MYA,KGI,1
KGI,SBC,3
MAS,GDR,4
NLR,OGL,10
BPP,TEL,1
TEL,BZA,8
BZA,KMT,7
KMT,WL,7
WL,RDM,4
MCI,SKZR,2
NGP,NRKR,1
NRKR,PAR,2
ET,HBD,1
HBD,HBJ,1
BINA,JHS,3
AGC,RKM,2
RKM,MTJ,1
MTJ,FDB,2
FDB,NZM,1
NZM,NDLS,4
NDLS,DEE,1
DEE,NDLS,1
NDLS,MTJ,2
AGC,DHO,2
DHO,MRA,2
HBJ,HBD,4
NRKR,NGP,2
BZA,TEL,7
TEL,BPP,2
BPP,CLX,2
KKW,THVM,1
THVM,MAO,3
KAWR,KT,3
KT,BTJL,1
BTJL,KUDA,1
KUDA,UD,3
KGQ,KZE,5
KZE,NLE,3
NLE,PAY,2
PAY,PAZ,3
PAZ,CAN,2
CAN,TLY,7
TLY,BDJ,4
BDJ,QLD,4
QLD,CLT,4
CLT,FK,4
FK,PGI,2
PGI,TIR,2
TIR,KTU,4
KTU,PTB,3
PTB,SRR,3
TCR,AWY,9
AWY,ERS,5
YPR,TK,1
TK,ASK,1
ASK,DVG,1
DVG,UBL,1
UBL,DWR,1
DWR,BGM,1
BGM,MRJ,1
MRJ,PUNE,1
PUNE,MMR,1
BSL,BPL,1
BPL,JHS,3
JHS,NZM,3
CAPE,NCJ,4
NCJ,VLY,1
VLY,TEN,1
TEN,CVP,1
CVP,SRT,6
SRT,VPT,7
VPT,MDU,6
MDU,DG,2
DG,TPJ,6
TPJ,VRI,3
VRI,VM,5
VM,TMV,3
TMV,MLMR,3
MLMR,CGL,4
CGL,TBM,10
TBM,MBM,3
MBM,MS,3
MDU,KQN,5
KQN,ABI,1
ABI,DG,1
DG,MPA,2
MPA,TPJ,2
VM,CGL,4
BNC,KJM,3
BWT,KPN,3
KPN,JTJ,2
JTJ,VN,3
VN,AB,1
AB,KPD,2
KPD,WJR,1
AJJ,PER,3
PER,MAS,4
YPR,DMM,1
DMM,KRNT,1
KRNT,KCG,1
KCG,BPQ,1
BPQ,NGP,3
NGP,BPL,2
NCJ,TEN,2
TEN,MEJ,4
MEJ,CVP,4
KQN,DG,4
TPJ,SRGM,2
SRGM,ALU,2
ALU,VRI,1
VM,MLMR,1
TBM,MS,5
MS,NLR,1
OGL,BZA,4
BZA,EE,5
EE,RJY,3
RJY,VSKP,2
VSKP,BAM,1
BAM,KUR,6
KUR,BBS,12
BBS,CTC,8
CTC,BLS,1
BLS,KGP,3
KGP,HWH,3
TEN,SRT,1
CGL,MS,1
SSPN,SBC,1
KJM,WFD,1
WFD,BWT,1
JTJ,AB,1
KPD,SHU,1
SHU,AJJ,1
BZA,NZD,1
NZD,EE,1
EE,TDD,3
TDD,NDD,1
NDD,RJY,1
RJY,APT,1
APT,SLO,1
SLO,ANV,1
ANV,TUNI,1
TUNI,AKP,1
AKP,DVD,1
DVD,VSKP,1
AII,BHL,2
BHL,COR,6
COR,NMH,3
NMH,MDS,3
MDS,RTM,3
RTM,UJN,1
UJN,BPL,3
KNW,AK,1
AK,WHM,4
WHM,HNL,4
HNL,BMF,4
BMF,PAU,4
PAU,NED,5
NED,MUE,4
MUE,NZB,1
NZB,KMC,4
KMC,SC,1
FDB,BVH,1
BVH,KSV,1
KSV,MTJ,1
GWL,DAA,1
DAA,JHS,1
JHS,BAB,1
BAB,LAR,1
NGP,SNI,1
SNI,SEGM,1
HGT,WRR,1
WRR,BUX,1
BUX,CD,1
RDM,PDPL,1
PDPL,JMKT,2
JMKT,KZJ,1
KZJ,ZN,2
ZN,BG,1
BG,SC,1
NGP,CD,2
YPR,HUP,1
HUP,DMM,2
ATP,GTL,1
GTL,RC,1
RC,YG,1
YG,CT,1
CT,LPI,1
LPI,BMT,3
BMT,SC,4
VSKP,DVD,6
DVD,AKP,3
AKP,TUNI,3
TUNI,SLO,1
SLO,RJY,7
RJY,TDD,4
TDD,EE,5
EE,BZA,9
WL,SC,1
VKB,SKP,2
SKP,LPI,2
LPI,SNF,1
SNF,BMT,1
SC,NRDP,1
NRDP,CTYL,1
CTYL,NLDA,1
NLDA,MRGA,2
MRGA,VNUP,1
VNUP,NDKD,1
NDKD,PGRL,2
PGRL,SAP,2
SAP,GNT,2
SC,ZN,1
ZN,KZJ,1
KZJ,WL,3
WL,KDM,1
KDM,MABD,2
MABD,DKJ,2
DKJ,KMT,3
KMT,MDR,2
MDR,KI,1
KI,BZA,1
BZA,GDV,2
GDV,NUJ,3
NUJ,GVL,3
GVL,KVM,3
KVM,VMD,3
VMD,PAV,3
PAV,CLU,3
CLU,MTM,3
HYB,SC,2
WL,MABD,2
TEL,CLX,2
OGL,KVZ,1
KVZ,NLR,1
GDR,NYP,1
NYP,SPE,1
SPE,MAS,4
KRMR,PDPL,1
JMKT,WL,1
MABD,KMT,1
MDR,BZA,1
BZA,GDR,1
GDR,KHT,3
KHT,RU,3
RU,TPTY,8
MUE,DAB,2
DAB,NZB,2
KMC,KCG,1
KCG,MBNR,2
MBNR,GWD,4
GWD,KRNT,5
KRNT,DHNE,5
DHNE,ATP,1
ATP,DMM,5
DMM,KRY,1
KRY,MPL,1
MPL,PIL,1
PIL,PAK,1
PAK,TPTY,5
KCG,UR,1
UR,SHNR,1
SHNR,JCL,2
JCL,MBNR,3
MBNR,WPR,2
WPR,GWD,1
DHNE,TU,1
TU,MOO,2
MOO,YA,2
YA,KKM,1
KKM,HX,1
HX,NRE,1
NRE,RJP,1
RJP,OBVP,1
OBVP,KOU,1
KOU,RU,2
TPTY,PAK,2
PAK,CTO,2
PURI,KUR,3
CTC,JJKR,5
JJKR,BHC,3
BHC,BLS,3
KGP,GTS,1
GTS,TATA,2
TATA,CNI,3
CNI,PRR,1
PRR,BKSC,1
BKSC,CRP,2
CRP,GMO,3
PNME,HZD,2
HZD,KQR,2
KQR,PRP,1
PRP,GAYA,1
GAYA,AUBR,2
AUBR,DOS,2
MZP,ALD,1
ALD,FTP,1
FTP,CNB,3
CNB,GZB,1
BHC,SORO,1
SORO,BLS,1
BLS,JER,2
JER,HIJ,1
HIJ,TATA,1
TATA,GMO,1
GMO,MGS,1
ANVT,CNB,1
MGS,GMO,1
GMO,TATA,1
TATA,HIJ,1
HIJ,JER,1
DURG,R,5
R,BYT,2
BYT,BSP,2
BSP,PND,2
PND,APR,2
APR,SDL,2
SDL,UMR,2
