Source,Target,Weight
MRPR,NEW,2
NEW,BWR,2
BWR,JHS,2
DAA,DBA,2
LJN,ON,2
ON,CNB,3
CNB,GOY,1
GOY,PHN,1
PHN,KPI,1
KPI,ORAI,1
ORAI,AIT,1
AIT,MOTH,1
MOTH,CGN,1
CGN,JHS,1
MRA,AGC,2
AGC,MTJ,9
MTJ,FDB,5
NZM,GZB,2
GZB,MB,1
MB,BE,5
BE,LKO,3
LKO,GD,4
GD,BLP,1
AJNI,WR,1
AK,WHM,3
WHM,HNL,3
HNL,BMF,1
BMF,PAU,1
PAU,PBN,7
PBN,SELU,2
SELU,PTU,3
PTU,J,3
J,AWB,6
AWB,LSR,2
LSR,RGO,2
RGO,MMR,2
NK,DVL,2
DVL,IGP,2
NZB,BSX,4
BSX,DAB,5
DAB,UMRI,2
UMRI,MUE,2
MUE,NED,4
NED,PAU,7
KUDL,KKW,1
KKW,RN,4
SGR,CHI,2
KHED,ROHA,1
BPL,SMT,1
SMT,SCI,1
BAQ,BET,1
BET,KAH,1
KAH,MABA,1
BINA,KYE,1
KYE,JRK,1
JRK,NOI,1
NOI,SGO,1
SGO,MKRN,1
MKRN,GAJ,1
GAJ,PHA,1
PHA,DMO,2
DMO,BNU,2
BNU,SYA,1
SYA,REI,1
REI,KTE,1
KTE,SBD,1
SBD,SHR,1
SHR,GSPR,1
GSPR,DOE,1
DOE,JBP,1
JBP,MML,4
MML,BRGT,1
BRGT,BHTN,1
BHTN,BMR,1
BMR,SRID,1
SRID,KKB,1
KKB,BELD,1
BELD,NU,1
NU,KY,1
KY,BNE,1
BNE,GAR,1
GAR,SCKR,1
SCKR,BKH,1
BKH,PPI,1
PPI,SGP,1
SGP,GMD,1
GMD,BGTA,1
BGTA,SQL,1
SQL,GRO,1
GRO,ET,1
NGP,WR,4
DMN,BD,1
HNL,PAU,2
PBN,GNH,1
GNH,PRLI,1
PRLI,LTRR,1
LTRR,LUR,2
LUR,UMD,1
UMD,BTW,1
BTW,KWV,1
KWV,PVR,1
SGLA,MRJ,1
SUR,HG,1
HG,IDR,1
IDR,BJP,1
BJP,BSRX,1
BSRX,LMT,2
LMT,BGK,1
BGK,GED,3
GED,BDM,3
BDM,HLAR,1
HLAR,MLP,2
MLP,GDG,1
GDG,NGR,1
NGR,UBL,1
JBP,SHR,2
SHR,KTES,1
KTES,KHBJ,1
KHBJ,BEHR,1
BEHR,MWJ,1
MWJ,SGAM,1
SGAM,BRGW,1
BRGW,SGRL,1
SGRL,OBR,2
OBR,CPU,3
CPU,RNQ,2
RNQ,DXN,2
DXN,WDM,2
WDM,NUQ,3
NUQ,GHQ,1
GHQ,GHD,3
GHD,DTO,2
DTO,BRWD,1
BRWD,CPDR,5
CPDR,LTHR,2
LTHR,TORI,2
TORI,MGME,2
MGME,KLRE,5
KLRE,RAY,5
RAY,PTRU,2
PTRU,BRKA,1
BRKA,RRME,2
RRME,CNPR,1
CNPR,GMIA,1
GMIA,BKRO,2
BKRO,BRMO,1
BRMO,PUS,1
PUS,BHME,2
BHME,CRP,2
CRP,GMO,2
GMO,TET,2
TET,DHN,2
DHN,KMME,2
KMME,ULT,1
ULT,ASN,2
ASN,RNG,7
RNG,DGR,2
DGR,BWN,7
BWN,HWH,4
HWH,BWN,5
BWN,DGR,6
DGR,RNG,5
RNG,ASN,5
ASN,ULT,1
ULT,BRR,1
BRR,KMME,1
KMME,DHN,1
DHN,TET,1
TET,GMO,1
GMO,CRP,2
CRP,BHME,1
BHME,PUS,1
PUS,BRMO,1
BRMO,BKRO,1
BKRO,GMIA,1
GMIA,CNPR,1
CNPR,RRME,1
RRME,BRKA,1
BRKA,PTRU,3
PTRU,RAY,2
RAY,KLRE,2
KLRE,MGME,2
MGME,TORI,2
TORI,LTHR,4
LTHR,CPDR,2
CPDR,BRWD,2
BRWD,DTO,3
DTO,GHD,5
GHD,GHQ,2
GHQ,NUQ,2
NUQ,WDM,1
WDM,DXN,1
DXN,RNQ,1
RNQ,CPU,3
CPU,OBR,2
OBR,SGRL,1
SGRL,BRGW,1
BRGW,SGAM,1
SGAM,MWJ,1
MWJ,BEHR,1
BEHR,KHBJ,1
KHBJ,KTES,1
KTES,SHR,1
SHR,JBP,2
KTE,DMO,2
DMO,SGO,4
SGO,KYE,1
KYE,MAKR,1
MAKR,JHS,1
JHS,GWL,8
FDB,TKD,5
TKD,OKA,5
OKA,NZM,5
NDLS,DKZ,3
DKZ,SSB,2
SSB,BGZ,2
BGZ,ROK,2
ROK,JIND,1
JIND,NRW,1
NRW,JHL,1
JHL,SFMU,1
SFMU,SAG,1
SAG,DUI,2
DUI,LDH,1
LDH,JRC,6
JRC,DZA,1
DZA,PTKC,1
PTKC,KTHU,1
KTHU,JAT,1
JAT,UHP,2
UHP,SVDK,1
NDLS,KKDE,1
KKDE,UMB,4
UMB,CDG,5
CDG,KLK,2
MAS,KPD,5
KPD,SBC,1
SBC,MYS,1
ST,VAPI,5
VAPI,BVI,9
BVI,BCT,2
ASR,BEAS,8
BEAS,JUC,8
JUC,PGW,3
PGW,LDH,5
LDH,SIR,2
SIR,UMB,2
UMB,NDLS,2
SC,BMT,2
BMT,VKB,1
VKB,TDU,3
TDU,WADI,1
WADI,GR,3
GR,SUR,4
SUR,PUNE,1
LDH,RPJ,1
RPJ,UMB,1
NDLS,GZB,2
GZB,ETW,1
ETW,CNB,1
AF,BTE,1
BTE,GADJ,1
GADJ,JP,3
NDLS,KUN,1
KUN,UMB,1
NZM,AGC,3
UHL,NLDM,1
NLDM,ANSB,1
ANSB,KART,1
KART,RPAR,1
RPAR,SASN,1
SASN,CDG,1
CDG,UMB,3
UMB,KKDE,4
KKDE,KUN,4
KUN,PNP,4
PNP,SNP,4
SNP,SZM,4
SZM,NDLS,5
BBS,CTC,9
CTC,JJKR,5
JJKR,BHC,6
BHC,SORO,2
SORO,BLS,2
BLS,JER,1
JER,KGP,1
KGP,HWH,4
SBC,YPR,4
YPR,TK,4
TK,ASK,1
ASK,RRB,2
RRB,JRU,1
JRU,DVG,1
DVG,HRR,4
HRR,RNR,3
RNR,HVR,3
HVR,UBL,3
MV,KMU,1
KMU,PML,2
PML,TJ,2
TJ,TPJ,1
TPJ,KRR,2
KRR,ED,3
