Source,Target,Weight
ARJ,GCT,2
GCT,YFP,1
YFP,BUI,1
BUI,SIP,1
SIP,CPR,1
SPJ,DBG,2
DBG,SKI,1
SKI,MBI,1
MBI,JYG,1
GKP,KLD,5
KLD,BST,5
BST,GD,4
GD,LKO,3
MB,LRJ,2
LRJ,RK,2
SRE,YJUD,3
YJUD,UMB,2
BST,MUR,3
MUR,GD,3
GD,BBK,1
BBK,BNZ,2
BNZ,LJN,1
LJN,ON,2
ON,CNB,6
CNB,PHN,1
PHN,ORAI,1
JHS,LAR,3
LAR,BPL,1
ET,GDYA,2
GDYA,BZU,3
BZU,AMLA,4
AMLA,PAR,1
PAR,NGP,4
NGP,SEGM,4
SEGM,HGT,3
HGT,CD,2
CD,BPQ,6
BPQ,SKZR,5
SKZR,BPA,5
BPA,MCI,4
MCI,RDM,6
RDM,KZJ,2
KZJ,SC,4
SC,BMT,3
BMT,RC,1
RC,MALM,5
MALM,AD,5
AD,GTL,5
GTL,ATP,2
DMM,HUP,3
HUP,YPR,2
LKO,CNB,3
JHS,BPL,2
ET,BSL,2
BSL,KYN,1
KYN,CSMT,1
PNVL,MNI,1
MNI,KHED,1
CHI,RN,1
RN,KUDL,1
KUDL,MAO,1
MAO,CNO,2
CNO,KAWR,2
KAWR,ANKL,1
ANKL,GOK,1
KUDA,BKJ,1
BKJ,UD,1
UD,MULK,1
MULK,SL,1
SL,MAQ,2
MAS,BZA,1
AGC,NZM,1
MAS,KPD,2
KPD,SA,1
ED,CBE,2
CBE,PGT,8
PGT,TCR,5
TCR,AFK,1
AFK,AWY,6
ERN,TRTR,3
TRTR,KTYM,2
KTYM,CGY,8
CGY,TRVL,8
TRVL,CNGR,9
CNGR,MVLK,6
MVLK,KYJ,7
KYJ,QLN,7
QLN,VAK,2
VAK,TVP,2
TVP,TVC,4
MTJ,AGC,3
AGC,GWL,2
GWL,JHS,4
DD,KWV,3
SUR,GR,4
GR,WADI,3
WADI,YG,2
YG,RC,3
GTL,GY,4
GY,ATP,3
DMM,SSPN,1
SSPN,PKD,1
PKD,HUP,2
HUP,YNK,2
YNK,BNC,1
BNC,SBC,3
MDU,SDN,1
SDN,DG,1
DG,TPJ,4
TPJ,ALU,2
ALU,VRI,5
VRI,VM,7
VM,CGL,1
CGL,TBM,6
TBM,MBM,4
MBM,MS,4
TCR,PGT,5
PGT,CBE,7
CBE,TUP,8
ED,SGE,1
SGE,SA,1
HSRA,CRLM,1
CRLM,BNC,1
TN,MVN,1
MVN,MEJ,1
MEJ,KDU,3
KDU,CVP,3
VPT,TMQ,2
TMQ,MDU,2
MDU,KQN,3
KQN,DG,3
VM,TMV,5
TMV,MLMR,5
