Source,Target,Weight
ASN,DHN,5
DHN,MGS,1
MGS,ALD,5
ALD,CNB,7
CNB,ANVT,3
KCVL,QLN,1
QLN,KYJ,8
KYJ,MVLK,8
MVLK,CNGR,7
CNGR,TRVL,8
TRVL,CGY,6
CGY,KTYM,5
KTYM,ERN,5
ERN,AWY,6
TCR,PGT,6
PGT,CBE,10
CBE,ED,1
SA,DPJ,3
HSRA,BAND,1
BAND,YPR,2
MAS,BZA,1
BZA,BPQ,1
BPQ,NGP,3
NGP,HBJ,1
HBJ,JHS,1
JHS,NZM,2
ALD,NDLS,1
KGP,BLS,6
BLS,BHC,8
BHC,JJKR,8
JJKR,CTC,6
CTC,BBS,14
BBS,PURI,1
ERS,CLT,1
CLT,MAJN,1
MAJN,MAO,1
MAO,RN,1
RN,PNVL,3
PNVL,BSR,5
BSR,BRC,2
BRC,RTM,6
RTM,KOTA,5
KOTA,NZM,4
NZM,JHS,2
JHS,HBJ,1
HBJ,NGP,1
NGP,BPQ,4
ADI,BSR,1
BSR,LNL,1
NDLS,CNB,4
CNB,ALD,7
ALD,MGS,6
MGS,GAYA,4
GAYA,PNME,1
PNME,DHN,2
DHN,HWH,1
HWH,BWN,1
BWN,DGR,3
DGR,ASN,6
ASN,CRJ,2
CRJ,MDP,1
MDP,JSME,2
JSME,JAJ,4
JAJ,JMU,1
JMU,KIUL,1
KIUL,MKA,1
MKA,BARH,4
BARH,BKP,4
BKP,PNC,2
PNC,PNBE,6
PNBE,DNR,2
DNR,ARA,2
ARA,BXR,4
BXR,MGS,4
CNB,ETW,3
ETW,TDL,1
TDL,ALJN,2
ALJN,NDLS,1
RJPB,PNBE,9
PNBE,MGS,4
CNB,NDLS,2
KOAA,DGR,1
DHN,GAYA,3
GAYA,MGS,4
MGS,CNB,1
CNB,CPA,4
CPA,FBD,1
FBD,KSJ,2
KSJ,MTJ,1
MTJ,AGC,3
KOAA,ASN,2
ASN,JSME,2
JAJ,KIUL,1
KIUL,PNC,1
MGS,BSB,6
BSB,LKO,2
LKO,BE,5
BE,MB,8
MB,SRE,2
SRE,UMB,5
UMB,SIR,2
SIR,RPAR,1
RPAR,ANSB,1
ANSB,NLDM,2
JAT,KTHU,2
KTHU,PTKC,4
PTKC,JRC,4
JRC,PGW,4
LDH,UMB,5
SRE,MB,1
MB,BE,7
BE,LKO,3
NHH,SLN,2
SLN,JOP,2
JOP,BSB,1
BSB,MGS,3
MGS,BXR,4
BXR,ARA,3
ARA,DNR,4
DNR,PNBE,6
PNC,BKP,6
BKP,MKA,4
MKA,KIUL,3
KIUL,JMU,2
MDP,CRJ,4
ASN,HWH,1
ALY,GYN,3
GYN,MUV,2
MUV,BSB,1
BSB,KEI,5
KEI,MGS,3
MGS,ZNA,2
ZNA,DLN,2
DLN,GMR,1
GMR,BXR,1
BXR,DURE,4
DURE,RPR,2
RPR,BEA,1
BEA,ARA,3
ARA,BTA,2
BTA,DNR,2
PNC,FUT,4
FUT,BKP,2
BKP,BARH,3
BARH,MKA,4
KIUL,JAJ,3
DGR,BWN,3
BWN,HWH,2
HWH,MNAE,1
MNAE,PAN,4
PAN,DGR,1
DGR,OYR,4
OYR,UDL,4
UDL,RNG,4
RNG,ASN,1
ASN,STN,1
STN,ULT,2
ULT,BRR,2
BRR,KMME,2
KMME,DHN,1
GHY,KYQ,3
KYQ,NBQ,1
NBQ,NOQ,1
NOQ,NCB,3
NCB,NJP,2
NJP,KNE,5
KNE,MLDT,3
MLDT,NFK,5
NFK,RPH,1
RPH,BHP,3
BHP,BWN,2
HWH,KQU,1
KQU,BWN,2
BWN,GKH,1
GKH,BHP,1
BHP,PNE,3
PNE,AMP,1
AMP,SNT,2
SNT,RPH,2
MGS,PNBE,3
KIUL,AHA,2
AHA,JMP,2
JMP,SGG,2
SGG,BGP,2
KYN,MMR,1
ET,JBP,4
KTE,STA,6
STA,MZP,1
MZP,MGS,3
BXR,PNBE,1
PNC,KIUL,2
HWH,DGR,1
BSB,PBH,2
PBH,AME,5
AME,RBL,1
RBL,LKO,4
MB,GZB,2
GZB,DLI,2
DLI,DEC,2
DEC,GGN,3
GGN,RE,2
RE,MHRG,1
MHRG,SDLP,1
SDLP,CUR,2
CUR,RTGH,2
RTGH,RJR,1
RJR,SDGH,1
SDGH,NPS,1
NPS,BKN,1
BKN,PLCJ,1
PLCJ,RDRA,2
RDRA,JSM,1
JSM,RDRA,1
RDRA,PLCJ,3
PLCJ,BKN,1
BKN,NPS,1
NPS,SDGH,1
SDGH,RJR,1
RJR,RTGH,1
RTGH,CUR,1
CUR,SDLP,1
SDLP,MHRG,1
MHRG,RE,1
DEC,DLI,3
DLI,GZB,3
GZB,MB,2
LKO,RBL,3
RBL,AME,3
AME,PBH,4
PBH,BSB,1
GAYA,DHN,1
DHN,ASN,2
NCB,MHBA,1
MHBA,NJP,1
MLDT,RPH,2
BWN,SDAH,2
BSL,MKU,4
MKU,SEG,4
AK,BD,6
BD,DMN,2
WR,NGP,3
NGP,KATL,1
KATL,NRKR,1
NRKR,PAR,1
PAR,MTY,1
MTY,AMLA,1
AMLA,BZU,2
