Source,Target,Weight
JUC,JRC,27
JRC,PGW,23
PGW,GRY,6
GRY,PHR,6
PHR,LDH,18
LDH,AHH,1
AHH,MET,4
MET,DUI,8
DUI,NBA,6
NBA,PTA,6
PTA,RPJ,7
RPJ,UBC,17
UBC,UMB,29
UMB,SHDM,5
SHDM,KKDE,5
KKDE,NLKR,2
NLKR,TRR,6
TRR,KUN,3
KUN,GRA,4
GRA,PNP,4
PNP,SMK,8
SMK,GNU,6
GNU,SNP,7
SNP,RDDE,1
RDDE,NUR,12
NUR,ANDI,2
ANDI,SZM,3
SZM,NDLS,12
NDLS,NZM,18
NZM,FDB,21
FDB,BVH,6
BVH,PWL,7
PWL,KSV,8
KSV,MTJ,8
MTJ,RKM,19
RKM,AGC,30
AGC,DHO,18
DHO,MRA,16
MRA,GWL,25
GWL,DBA,20
DBA,SOR,2
SOR,DAA,4
DAA,JHS,18
BAB,BZY,2
BZY,TBT,2
TBT,LAR,5
LAR,JLN,4
JLN,DUA,6
DUA,BINA,5
BINA,MABA,9
MABA,BAQ,7
BAQ,GLG,2
GLG,BHS,2
BHS,SCI,4
SCI,BPL,2
MDDP,ODG,4
ODG,BNI,1
BNI,HBD,3
ET,BPF,6
BPF,TBN,4
KKN,CAER,3
CAER,TLV,2
TLV,KNW,3
RV,NB,3
NB,SAV,3
SAV,BSL,1
KYN,BSL,5
BLTR,BTT,2
BTT,MW,2
MW,SV,6
SV,CPR,27
CPR,SV,28
SV,MW,6
MW,BTT,2
BTT,BLTR,2
BSL,KYN,4
BSL,BAU,17
BAU,KNW,16
KTE,MYR,20
MYR,STA,21
MKP,NYN,1
NYN,ALD,12
GYN,BHLP,4
BHLP,BSB,4
GCT,YFP,8
YFP,BUI,7
BUI,SIP,10
SIP,CPR,12
CPR,DGA,14
DGA,SEE,11
HJP,BNR,6
BNR,MFP,2
MFP,BNR,2
BNR,HJP,6
SEE,DGA,11
DGA,CPR,14
CPR,SIP,12
SIP,BUI,8
BUI,YFP,7
YFP,GCT,8
BSB,BHLP,3
BHLP,GYN,2
ALD,NYN,11
NYN,MKP,1
STA,MYR,20
MYR,KTE,19
KNW,BAU,16
BAU,BSL,17
NK,IGP,26
CGL,MLMR,18
MLMR,TMV,16
TMV,VM,15
VRI,CHSM,3
CHSM,ATU,3
ATU,ETP,1
ETP,VGE,4
VGE,APN,1
APN,SXT,4
SXT,SA,2
SA,SXT,2
SXT,APN,4
APN,VGE,1
VGE,ETP,4
ETP,ATU,1
ATU,CHSM,3
CHSM,VRI,3
VM,TMV,15
TMV,MLMR,16
MLMR,CGL,18
ALD,PBH,5
PBH,SLN,3
SLN,FD,3
FD,SLN,3
SLN,PBH,3
PBH,ALD,5
